uid	source	label	diacritic	sentence	original
6360	Shibatani_1976	1	g	彼女のことを考えた。	彼女のことを考えた。
6060	Shibatani_1976	0	*	思いやりのある医者は昏睡状態にあり助かる見込みのない病人に死なせた。	思いやりのある医者は昏睡状態にあり助かる見込みのない病人に死なせた。
7033	Shibatani_1976	1	g	私は、小説は書けまい。	私は、小説は書けまい。
7182	Shibatani_1976	1	g	太郎は紙である袋を拾った。	紙である袋
5097	Miyagawa_and_Saito	0	*	ジョンかビルはメアリーが何を買った後で出かけたの？	ジョンかビルはメアリーが何を買った後で出かけたの？
7729	Shibatani_1990	1	g	太郎が走ったので、僕は二郎にもそうさせた。	太郎が走ったので、僕は二郎にもそうさせた。
1329	Inoue_1976	1	g	彼らの風船が徐々に膨らんでいった。	彼らの風船が徐々に膨らんでいった。
2098	Inoue_1976	1	g	学生は、自分達の部屋に立て籠った。	学生は、自分達の部屋に立て籠った。
8194	Tsujimura_1999	1	g	敵を待ち構える。	敵を待ち構える。
5788	Shibatani_1976	1	g	自分の机を部屋に居た学生に加藤氏が拭かせた。	自分の机を部屋に居た学生に加藤氏が拭かせた。
4257	Kuroda_1992	1	g	私は気を失っているところを捜索隊によって救助された。	私は気を失っているところを捜索隊によって救助された。
5218	Miyagawa_and_Saito	0	*	ロジャーは4杯のご飯をどんぶりに食べた。	ロジャーは4杯のご飯をどんぶりに食べた。
2872	Kuno_1973	0	*	寒くなったなら、暖房を入れた。	寒くなったなら、暖房を入れた。
1926	Inoue_1976	1	g	会議に出ている人々が、ここに集っている。	会議に出ている人々が、ここに集っている。
3535	Kuno_1973	1	g	山が木が綺麗だ。	山が木が綺麗だ。
1936	Inoue_1976	0	*	花子さんが連れている子供は太郎だった。	花子さんが連れている子供は太郎だった。
7151	Shibatani_1976	1	g	太郎は蒸気機関車に乗った。	蒸気機関車
4998	Miyagawa_and_Saito	1	g	うちの動物園では3頭のカバがオスだ。	うちの動物園では3頭のカバがオスだ。
2514	Kuno_1973	1	g	メアリーがジョンと勉強した。	メアリーがジョンと勉強した。
3520	Kuno_1973	1	g	出場者のうちの3人が、20箱の饅頭を食べた。	出場者のうちの3人が、20箱の饅頭を食べた。
2033	Inoue_1976	1	g	自分の子供の手術をした医者が山田さんに尊敬された。	自分の子供の手術をした医者が山田さんに尊敬された。
6979	Shibatani_1976	1	g	昨日太郎は、いつも寄り添っている二郎と花子の間に割り込んだ。	昨日太郎は、いつも寄り添っている二郎と花子の間に割り込んだ。
3340	Kuno_1973	1	g	ジョンは買う本を読んだ。	ジョンは買う本を読んだ。
3475	Kuno_1973	0	*	メアリーがジョンに会われた。	メアリーがジョンに会われた。
1486	Inoue_1976	1	g	太郎は、家事で家財道具を焼いた。	太郎は、家事で家財道具を焼いた。
4404	Kuroda_1992	1	g	ジョンは言語学者が好きだ。	ジョンは言語学者が好きだ。
2933	Kuno_1973	1	g	来年の夏になったら、ニューヨークに行きます。	来年の夏になったら、ニューヨークに行きます。
2581	Kuno_1973	1	g	ジョンが東京に行き、メアリーが大阪に行く。	ジョンが東京に行き、メアリーが大阪に行く。
8136	Tsujimura_1999	1	g	ジョンは誰がパーティーに来るか大体知っている。	ジョンは誰がパーティーに来るか大体知っている。
3828	Kuroda_1965	1	g	何が倒れたか？	何が倒れたか？
7225	Shibatani_1976	0	??	金買い	金買い
5131	Miyagawa_and_Saito	0	*	花子は京都になぜ来た人を呼びましたか？	花子は京都になぜ来た人を呼びましたか？
4827	Miyagawa_and_Saito	1	g	雅美が裕美を自分の部屋で褒めた。	雅美が裕美を自分の部屋で褒めた。
3083	Kuno_1973	1	g	ジョンはメアリーが犯人であることを推定した。	ジョンはメアリーが犯人であることを推定した。
3225	Kuno_1973	1	g	その子供が可愛がっていた犬が死んでしまった。	その子供が可愛がっていた犬が死んでしまった。
5814	Shibatani_1976	1	g	いつも自分の部屋にいる友達が花子を心配させた。	いつも自分の部屋にいる友達が花子を心配させた。
4290	Kuroda_1992	1	g	CIAが大統領を殺してしまった。	CIAが大統領を殺してしまった。
6459	Shibatani_1976	0	*	彼女は買い物に行くというのが嫌いだ。	彼女は買い物に行くというのが嫌いだ。
5737	Shibatani_1976	1	g	ジョンは自分が書いた手紙を破り据えた。	ジョンは自分が書いた手紙を破り据えた。
8025	Tsujimura_1999	1	g	ヨーロッパの国が資本家たちによって6つその美しい自然を破壊されている。	ヨーロッパの国が資本家たちによって6つその美しい自然を破壊されている。
8163	Tsujimura_1999	1	g	先生はお痩せにさえなった。	先生はお痩せにさえなった。
5706	Shibatani_1976	1	g	ジョンは自分が教えている学生と結婚したがっているよ。	ジョンは自分が教えている学生と結婚したがっているよ。
4669	Kuroda_1992	1	g	盃が正男によって酒を満たされた。	盃が正男によって酒を満たされた。
4227	Kuroda_1992	1	g	白いボールが王によって高々と打ち上げられた。	白いボールが王によって高々と打ち上げられた。
6313	Shibatani_1976	0	?*	部屋に入ると私は子供がタバコを喫むのを見つけた。	部屋に入ると私は子供がタバコを喫むのを見つけた。
2183	Kuno_1973	1	g	太郎は1本の木を植えた。	1本の木
786	Inoue_1976	1	g	我々がこの鍋で揚げ物をする。	我々がこの鍋で揚げ物をする。
65	Gunji_1987	1	g	健は直美に海外旅行を進めた。	健は直美に海外旅行を進めた。
932	Inoue_1976	1	g	ジョンがメアリーと友達だ。	ジョンがメアリーと友達だ。
6434	Shibatani_1976	1	g	総理大臣が自殺したという報告をラジオで聞いた。	総理大臣が自殺したという報告をラジオで聞いた。
8582	Tsujimura_2013	0	*	子供が二郎によって美智子に褒めさせられた。	子供が二郎によって美智子に褒めさせられた。
4484	Kuroda_1992	1	g	この種の事故が損害賠償を請求しにくい。	この種の事故が損害賠償を請求しにくい。
7593	Shibatani_1990	1	g	子供が母親に叱られて泣いた。	子供が母親に叱られて泣いた。
5990	Shibatani_1976	1	g	太郎が働く。	太郎が働く。
521	Inoue_1976	0	*	ジョンが仕事を押し付けられたのは妹だ。	ジョンが仕事を押し付けられたのは妹だ。
7619	Shibatani_1990	1	g	筧先生が教室で英語を教えている。	筧先生が教室で英語を教えている。
892	Inoue_1976	1	g	君に読める本はこれだ。	君に読める本
6842	Shibatani_1976	1	g	電気が点けてある。	電気が点けてある。
7649	Shibatani_1990	1	g	太郎は背が高いことを自慢している。	太郎は背が高いことを自慢している。
6563	Shibatani_1976	1	g	誰も行くまい。	誰も行くまい。
7585	Shibatani_1990	1	g	そこへ教師が登場して、独り言を言う。	そこへ教師が登場して、独り言を言う。
5980	Shibatani_1976	1	g	田中さんは田中さんの選挙区で演説した。	田中さんは田中さんの選挙区で演説した。
2694	Kuno_1973	1	g	サインをしてやってください。	サインをしてやってください。
7421	Shibatani_1976	1	g	佐藤先生はファウストをお読みになり始めた。	佐藤先生はファウストをお読みになり始めた。
5360	Shibatani_1976	1	g	逃げるが最上の策だ。	逃げるが最上の策だ。
7851	Shibatani_1990	1	g	太郎は行くつもりらしい。	太郎は行くつもりらしい。
7116	Shibatani_1976	1	g	外国行きの切符を手にした。	外国行き
900	Inoue_1976	1	g	お寺がたくさんある町は素敵だ。	お寺がたくさんある町
6778	Shibatani_1976	1	g	田中さんは、そのとき学生だった。	田中さんは、そのとき学生だった。
1326	Inoue_1976	1	g	市役所前の道路が広がった。	市役所前の道路が広がった。
419	Inoue_1976	1	g	池田氏は息子を秀才だと信じている。	池田氏は息子を秀才だと信じている。
7909	Tsujimura_1999	1	g	正男が太郎と花子にお互いを紹介した。	正男が太郎と花子にお互いを紹介した。
4228	Kuroda_1992	0	*	白いボールが王に高々と打ち上げられた。	白いボールが王に高々と打ち上げられた。
357	Inoue_1976	1	g	隣の家が売りに出ているそうだ。	隣の家が売りに出ているそうだ。
1005	Inoue_1976	1	g	その人が死んだのに誰も悲しまなかった。	その人が死んだのに誰も悲しまなかった。
6279	Shibatani_1976	1	g	二郎は手紙を出すことを忘れていた。	二郎は手紙を出すことを忘れていた。
2545	Kuno_1973	0	*	私はスリと遭った。	私はスリと遭った。
7229	Shibatani_1976	1	g	手紙を書く。	手紙を書く。
5151	Miyagawa_and_Saito	1	g	太郎はこの理由で死んだ。	太郎はこの理由で死んだ。
4623	Kuroda_1992	1	g	正男が指を折ったのは花子だ。	正男が指を折ったのは花子だ。
6454	Shibatani_1976	0	*	私たちはその街を通るというのを避けた。	私たちはその街を通るというのを避けた。
3470	Kuno_1973	1	g	ジョンがメアリーに本を読ませる。	ジョンがメアリーに本を読ませる。
566	Inoue_1976	1	g	日本が西独にマルクを引き上げられた。	日本が西独にマルクを引き上げられた。
5045	Miyagawa_and_Saito	0	*	メアリーがスーザンを押し倒して、ジョンもビルをそうし倒した。	メアリーがスーザンを押し倒して、ジョンもビルをそうし倒した。
2090	Inoue_1976	1	g	自分の家が貧乏なのに山田さんが教えている学生はアルバイトもしない。	自分の家が貧乏なのに山田さんが教えている学生はアルバイトもしない。
6159	Shibatani_1976	1	g	彼が東京へ行った翌年あの大地震があった。	彼が東京へ行った翌年あの大地震があった。
5490	Shibatani_1976	1	g	恋人に裏切られたことが宏を絶望させた。	恋人に裏切られたことが宏を絶望させた。
6741	Shibatani_1976	1	g	何も食べなかったら、映画へ連れて行ってあげないよ。	何も食べなかったら、映画へ連れて行ってあげないよ。
5655	Shibatani_1976	1	g	母の手紙が宏を絶望へ追いやった。	母の手紙が宏を絶望へ追いやった。
4553	Kuroda_1992	1	g	正男にはその郵便局からが小包みが送れる。	正男にはその郵便局からが小包みが送れる。
938	Inoue_1976	1	g	ジョンがそれでガッカリしたニュースについて話した。	ジョンがそれでガッカリしたニュース
102	Gunji_1987	0	*	富雄がスーザンをスーザンが裁判所に出頭させた。	富雄がスーザンをスーザンが裁判所に出頭させた。
6858	Shibatani_1976	1	g	昨日、お昼頃まで、富士山が見ていた。	昨日、お昼頃まで、富士山が見ていた。
699	Inoue_1976	1	g	僕がカレーを食べる。	僕がカレーを食べる。
1911	Inoue_1976	1	g	太郎が連絡係を務めたらしい。	太郎が連絡係を務めたらしい。
1758	Inoue_1976	1	g	私は、顔がほてって、足が冷たい。	私は、顔がほてって、足が冷たい。
6633	Shibatani_1976	1	g	あの人はひどく品がない。	あの人はひどく品がない。
7724	Shibatani_1990	1	g	太郎は花子に3回夜中に起きさせた。	太郎は花子に3回夜中に起きさせた。
4032	Kuroda_1992	1	g	猫は何を追いかけるか？	猫は何を追いかけるか？
2492	Kuno_1973	1	g	太郎が玄関を回る。	玄関を回る。
1833	Inoue_1976	1	g	雪が降っている。	雪が降っている。
1859	Inoue_1976	1	g	この研究室には、たくさん辞書があった。	この研究室には、たくさん辞書があった。
5363	Shibatani_1976	0	*	僕は逃げるを軽蔑しない。	僕は逃げるを軽蔑しない。
6416	Shibatani_1976	1	g	警察は学生が大学の建物に入ろうとするところを制止した。	警察は学生が大学の建物に入ろうとするところを制止した。
7266	Shibatani_1976	1	g	おビールいかが？	おビールいかが？
4704	Miyagawa_and_Saito	1	g	議論に拍車がかかる。	拍車がかかる。
7181	Shibatani_1976	1	g	太郎は男子である学生を見た。	男子である学生
2369	Kuno_1973	0	*	ジョンはお金が欲しい。	ジョンはお金が欲しい。
2157	Kuno_1973	1	g	ジョンがドアを開けます。	ジョンがドアを開けます。
2723	Kuno_1973	0	*	ジョンは本が読んでみる。	ジョンは本が読んでみる。
1111	Inoue_1976	0	*	友人がその人を訪ねた学者は優秀だ。	友人がその人を訪ねた学者
5925	Shibatani_1976	1	g	あのシェパードは山田さんからお隣にやられた。	あのシェパードは山田さんからお隣にやられた。
7	Gunji_1987	1	g	みんなが自分の友達を連れてきた。	みんなが自分の友達を連れてきた。
372	Inoue_1976	1	g	太郎には序文が訳せる。	太郎には序文が訳せる。
6928	Shibatani_1976	1	g	信号が青に変わるまで、待った。	信号が青に変わるまで、待った。
5827	Shibatani_1976	1	g	太郎は、美智子が自分の子供を世話しているのに、知らないふりをしていた。	太郎は、美智子が自分の子供を世話しているのに、知らないふりをしていた。
1455	Inoue_1976	1	g	三木さんと大平さんと福田さんが会談した。	三木さんと大平さんと福田さんが会談した。
2241	Kuno_1973	0	*	雨は降っています。	雨は降っています。
7383	Shibatani_1976	1	g	太郎が財産がある。	太郎が財産がある。
7408	Shibatani_1976	0	*	太郎はその飛行機が墜落しましたことを知らなかった。	太郎はその飛行機が墜落しましたことを知らなかった。
665	Inoue_1976	1	g	太郎が遅れるのは、珍しい。	太郎が遅れるのは、珍しい。
1806	Inoue_1976	1	g	あなたはどこがお痛いのですか？	あなたはどこがお痛いのですか？
198	Gunji_1987	1	g	直美がその場にいた女たちみんなにケーキに砂糖を入れ忘れたと言った。	直美がその場にいた女たちみんなにケーキに砂糖を入れ忘れたと言った。
4134	Kuroda_1992	1	g	我々は鯛の太郎が釣ってきたのをみんなで食べた。	我々は鯛の太郎が釣ってきたのをみんなで食べた。
5835	Shibatani_1976	1	g	花子が自分の本を貸した男が花子を推薦した。	花子が自分の本を貸した男が花子を推薦した。
1022	Inoue_1976	1	g	妹がそれで肉を切ったことがバレたナイフはこれだ。	妹がそれで肉を切ったことがバレたナイフ
2882	Kuno_1973	1	g	ジョンがボストンに来ているなら、僕に会いに来るでしょう。	ジョンがボストンに来ているなら、僕に会いに来るでしょう。
5539	Shibatani_1976	0	*	父親は母親に慰めさせた。	父親は母親に慰めさせた。
547	Inoue_1976	1	g	以上の手続きが取られたのは昨年のことである。	以上の手続きが取られたのは昨年のことである。
2269	Kuno_1973	1	g	何が人間の先祖ですか？	何が人間の先祖ですか？
5958	Shibatani_1976	1	g	太郎は二郎が自分に叱られることを承知していると思った。	太郎は二郎が自分に叱られることを承知していると思った。
5687	Shibatani_1976	1	g	宏は、母が癌でなかったことを知って、喜んだ。	宏は、母が癌でなかったことを知って、喜んだ。
5006	Miyagawa_and_Saito	1	g	子供が舞台で10人踊った。	子供が舞台で10人踊った。
3715	Kuroda_1965	1	g	ジョンがあの本を買わなかった。	ジョンがあの本を買わなかった。
8160	Tsujimura_1999	1	g	健はフランスの、直美はイタリアの車を買った。	健はフランスの、直美はイタリアの車を買った。
1683	Inoue_1976	1	g	太郎の表情が暗い。	太郎の表情が暗い。
6689	Shibatani_1976	0	?*	太郎は誰も死んだことを信じなかった。	太郎は誰も死んだことを信じなかった。
2279	Kuno_1973	1	g	僕はお金が欲しい。	僕はお金が欲しい。
652	Inoue_1976	0	*	彼女は、母親に似られなかった。	彼女は、母親に似られなかった。
7709	Shibatani_1990	1	g	太郎が花子に本を読ませた。	太郎が花子に本を読ませた。
5699	Shibatani_1976	1	g	自分が会に出られなかったので太郎は二郎を代わりにやった。	自分が会に出られなかったので太郎は二郎を代わりにやった。
2537	Kuno_1973	0	*	ジョンの手が金庫の鍵と触れた。	ジョンの手が金庫の鍵と触れた。
8126	Tsujimura_1999	1	g	誰が推薦した人が採用されそうですか？	誰が推薦した人が採用されそうですか？
8281	Tsujimura_1999	1	g	太郎は木に登っている。	太郎は木に登っている。
1020	Inoue_1976	0	*	加藤氏が預けた会社から火が出た書類はこれだ。	加藤氏が預けた会社から火が出た書類
3892	Kuroda_1965	1	g	ジョンがビルに自分を推薦してもらった。	ジョンがビルに自分を推薦してもらった。
316	Inoue_1976	1	g	太郎がいま君の本を読んでいる。	太郎がいま君の本を読んでいる。
6242	Shibatani_1976	1	g	日本はフランより首都が住み良い。	日本はフランより首都が住み良い。
7016	Shibatani_1976	1	g	慰めてやれ。	慰めてやれ。
4373	Kuroda_1992	1	g	太郎は飯を炊ける。	太郎は飯を炊ける。
1639	Inoue_1976	1	g	山門には大きな額が掛けられていた。	山門には大きな額が掛けられていた。
3698	Kuroda_1965	1	g	ジョンがあの本を買った。	ジョンがあの本を買った。
8410	Tsujimura_2013	1	g	太郎が銀座で昨日寿司を食べた。	太郎が銀座で昨日寿司を食べた。
3505	Kuno_1973	1	g	大勢の人はパーティに来たが、面白い人は来なかった。	大勢の人はパーティに来たが、面白い人は来なかった。
7110	Shibatani_1976	1	g	田中さんが全責任を取ったと判断します。	田中さんが全責任を取ったと判断します。
6173	Shibatani_1976	1	g	田中さんがきている洋服が汚れている。	田中さんがきている洋服が汚れている。
4414	Kuroda_1992	0	*	子供が買うことは禁じられている。	子供が買うことは禁じられている。
7966	Tsujimura_1999	0	*	誰もが彼自身を批判した。	誰もが彼自身を批判した。
6572	Shibatani_1976	1	g	私はその絵はちっともおかしいと思わない。	私はその絵はちっともおかしいと思わない。
363	Inoue_1976	1	g	一体誰が来たんですか？	一体誰が来たんですか？
6564	Shibatani_1976	1	g	僕はあの人と結婚するつもりだった。	僕はあの人と結婚するつもりだった。
2731	Kuno_1973	1	g	ジョンは太っている。	ジョンは太っている。
5664	Shibatani_1976	1	g	その経験はメアリーに自分が馬鹿であることを教えた。	その経験はメアリーに自分が馬鹿であることを教えた。
234	Gunji_1987	1	g	春は曙が良い。	春は曙が良い。
4468	Kuroda_1992	1	g	正男が小包みを送るのはその郵便局からが良い。	正男が小包みを送るのはその郵便局からが良い。
8209	Tsujimura_1999	1	g	審議が不十分につき、もう1度会議が行われることになった。	審議が不十分につき
5280	Shibatani_1976	1	g	山田は田中を犯人だと断定した。	山田は田中を犯人だと断定した。
64	Gunji_1987	1	g	直美が健に助言を求めた。	直美が健に助言を求めた。
5879	Shibatani_1976	1	g	先生は太郎を叱った。	先生は太郎を叱った。
1922	Inoue_1976	1	g	切符を買う人が、行列している。	切符を買う人が、行列している。
216	Gunji_1987	1	g	健が富雄に直美にもう車を貸さないと言われた。	健が富雄に直美にもう車を貸さないと言われた。
4098	Kuroda_1992	1	g	ジョンは20D-102号室では統辞構造論は日曜日に読んだ。	ジョンは20D-102号室では統辞構造論は日曜日に読んだ。
3720	Kuroda_1965	1	g	魚は池に住んでいる。	魚は池に住んでいる。
8426	Tsujimura_2013	1	g	寿司を二郎が食べた。	寿司を二郎が食べた。
5227	Miyagawa_and_Saito	1	g	学生3人が英語が上手い。	学生3人が英語が上手い。
6441	Shibatani_1976	1	g	私はあの人が先生を殺した感じがした。	私はあの人が先生を殺した感じがした。
5959	Shibatani_1976	1	g	太郎は花子が自分1人で自分の部屋で自分の仕事をしていたと言った。	太郎は花子が自分1人で自分の部屋で自分の仕事をしていたと言った。
4492	Kuroda_1992	1	g	私には雨が降ると思われる。	私には雨が降ると思われる。
6627	Shibatani_1976	0	*	パーティーで少し酔わなかった。	パーティーで少し酔わなかった。
5553	Shibatani_1976	1	g	太郎は二郎に似ている。	太郎は二郎に似ている。
5222	Miyagawa_and_Saito	1	g	ロジャーはご飯をどんぶり4杯食べた。	ロジャーはご飯をどんぶり4杯食べた。
310	Inoue_1976	1	g	太郎が序文を翻訳しはじめてしまっている。	太郎が序文を翻訳しはじめてしまっている。
3554	Kuno_1973	1	g	雨は降っていますが、傘は持っていきません。	雨は降っていますが、傘は持っていきません。
4221	Kuroda_1992	1	g	メアリーはジョンに自分の部屋で頭を割られた。	メアリーはジョンに自分の部屋で頭を割られた。
1469	Inoue_1976	1	g	太郎が花子と二郎と恵子と三郎と四郎と一緒にスキーに行った。	太郎が花子と二郎と恵子と三郎と四郎と一緒にスキーに行った。
3622	Kuno_1973	1	g	ジョンが来たのは、大阪だ。	ジョンが来たのは、大阪だ。
2981	Kuno_1973	0	*	東京である会社に勤めていると、ビルに会った。	東京である会社に勤めていると、ビルに会った。
2440	Kuno_1973	1	g	書架を買える。	書架を買える。
2607	Kuno_1973	1	g	スターリンとルーズベルトが会談した。	スターリンとルーズベルトが会談した。
8062	Tsujimura_1999	1	g	太郎が花子に彼を批判させた。	太郎が花子に彼を批判させた。
7698	Shibatani_1990	1	g	花子が気絶する。	花子が気絶する。
1240	Inoue_1976	1	g	ジョンが白状しなかったのは、有名だ。	ジョンが白状しなかったのは、有名だ。
6255	Shibatani_1976	1	g	花子は宏が死んだと誤解した。	花子は宏が死んだと誤解した。
6859	Shibatani_1976	1	g	太郎は、昨日家にいた。	太郎は、昨日家にいた。
3840	Kuroda_1965	1	g	ジョンはビルが自分を見たとき本を読んでいた。	ジョンはビルが自分を見たとき本を読んでいた。
1479	Inoue_1976	1	g	加藤さんは市に家を寄付した。	加藤さんは市に家を寄付した。
2590	Kuno_1973	1	g	ジョンとメアリーはバカだ。	ジョンとメアリーはバカだ。
2821	Kuno_1973	1	g	ジョンが死んだ後に、メアリーが生まれた。	ジョンが死んだ後に、メアリーが生まれた。
2361	Kuno_1973	1	g	僕は泳ぐことが好きだ。	僕は泳ぐことが好きだ。
1997	Inoue_1976	1	g	私は、通学に新幹線を利用していたので、交通費に随分かかった。	私は、通学に新幹線を利用していたので、交通費に随分かかった。
1680	Inoue_1976	1	g	花子の声はいい。	花子の声はいい。
5351	Shibatani_1976	0	*	僕は器用を重んじない。	僕は器用を重んじない。
5953	Shibatani_1976	1	g	花子の弟は太郎に英語に行かせられた。	花子の弟は太郎に英語に行かせられた。
2040	Inoue_1976	1	g	花子は自分の車で出かけた友達を心配した。	花子は自分の車で出かけた友達を心配した。
6797	Shibatani_1976	1	g	太郎は、泳げる。	太郎は、泳げる。
7332	Shibatani_1976	1	g	太郎が花子と喧嘩した。	太郎が花子と喧嘩した。
7625	Shibatani_1990	1	g	筧先生は生徒たちが毎年記念品をお送りしている。	筧先生は生徒たちが毎年記念品をお送りしている。
4935	Miyagawa_and_Saito	1	g	ジョンがそれを勝手に食べた。	ジョンがそれを勝手に食べた。
2277	Kuno_1973	1	g	ジョンがあそこにいます。	ジョンがあそこにいます。
6265	Shibatani_1976	1	g	ギターを弾くことは易しい。	ギターを弾くことは易しい。
8093	Tsujimura_1999	1	g	映画監督が女優を驚かせた。	映画監督が女優を驚かせた。
2942	Kuno_1973	0	*	ジョンは怒るなら、赤くなった。	ジョンは怒るなら、赤くなった。
7746	Shibatani_1990	1	g	太郎は花子に自分の部屋で死なれた。	太郎は花子に自分の部屋で死なれた。
4501	Kuroda_1992	1	g	私が大学の図書館で1番よく本を読む。	私が大学の図書館で1番よく本を読む。
254	Gunji_1987	1	g	昨日は太郎が昼飯を作った。	昨日は太郎が昼飯を作った。
1842	Inoue_1976	1	g	国民は早く経済事情が好転することを望んでいる。	国民は早く経済事情が好転することを望んでいる。
6338	Shibatani_1976	1	g	私は二郎によく働くことを命じた。	私は二郎によく働くことを命じた。
2986	Kuno_1973	1	g	メアリーが来ると、ジョンが帰った。	メアリーが来ると、ジョンが帰った。
3158	Kuno_1973	1	g	どこかへ行くのですか？	どこかへ行くのですか？
4562	Kuroda_1992	1	g	あの紳士は着ている洋服が汚れている。	あの紳士は着ている洋服が汚れている。
4912	Miyagawa_and_Saito	1	g	ジョンが皿の上にリンゴが置いてあったのを勝手に食べた。	ジョンが皿の上にリンゴが置いてあったのを勝手に食べた。
2845	Kuno_1973	1	g	父が死んでから、家も寂しくなりました。	父が死んでから、家も寂しくなりました。
4994	Miyagawa_and_Saito	1	g	学生3人が昨日ピーターを殺した。	学生3人が昨日ピーターを殺した。
5009	Miyagawa_and_Saito	1	g	外国人観光客が去年5000人徳島を訪れた。	外国人観光客が去年5000人徳島を訪れた。
776	Inoue_1976	1	g	彼は、イライラしやすい性質である。	彼は、イライラしやすい性質である。
5545	Shibatani_1976	1	g	少年は自分が女の子にモテるのに驚いた。	少年は自分が女の子にモテるのに驚いた。
4956	Miyagawa_and_Saito	1	g	学生が3人本を買った。	学生が3人本を買った。
3423	Kuno_1973	1	g	ジョンはメアリーが自分を愛していることを知っていた。	ジョンはメアリーが自分を愛していることを知っていた。
3453	Kuno_1973	1	g	ジョンが本を読みたがる。	ジョンが本を読みたがる。
2679	Kuno_1973	1	g	メアリーが本を読んでくれた。	メアリーが本を読んでくれた。
7896	Tsujimura_1999	1	g	誰もを誰かがジョンが愛していると言った。	誰もを誰かがジョンが愛していると言った。
1180	Inoue_1976	1	g	委員会の調停案を委員長が代表団に話した。	委員会の調停案を委員長が代表団に話した。
6292	Shibatani_1976	0	*	私の子供は先生が美智子をぶっていることを見た。	私の子供は先生が美智子をぶっていることを見た。
3853	Kuroda_1965	1	g	ジョンはビルが自分を説得するだろうと思っている。	ジョンはビルが自分を説得するだろうと思っている。
7240	Shibatani_1976	0	*	雨がお降りした。	雨がお降りした。
195	Gunji_1987	1	g	その場にいた女たちみんながケーキに砂糖を入れ忘れたと言った。	その場にいた女たちみんながケーキに砂糖を入れ忘れたと言った。
3781	Kuroda_1965	1	g	ジョンは何も買おうとしない。	ジョンは何も買おうとしない。
1251	Inoue_1976	0	*	ジョンは、ビルを説得する事実に成功した。	ジョンは、ビルを説得する事実に成功した。
300	Gunji_1987	1	g	本を直美に健があげた。	本を直美に健があげた。
3979	Kuroda_1965	0	*	ジョンが物理学を研究をする。	ジョンが物理学を研究をする。
8106	Tsujimura_1999	0	*	太郎が気合いを入らせる。	気合いを入らせる。
520	Inoue_1976	1	g	ジョンが妹に仕事を押し付けられた。	ジョンが妹に仕事を押し付けられた。
495	Inoue_1976	0	*	朝顔は冬に朝顔博士によって咲かせられた。	朝顔は冬に朝顔博士によって咲かせられた。
6116	Shibatani_1976	1	g	その事件は太郎を窮地に追いやった。	その事件は太郎を窮地に追いやった。
3487	Kuno_1973	1	g	メアリーをジョンがケンブリッジで見た。	メアリーをジョンがケンブリッジで見た。
8116	Tsujimura_1999	1	g	太郎が花子に二郎を美智子に会わさせる。	太郎が花子に二郎を美智子に会わさせる。
4447	Kuroda_1992	1	g	子供たちが通るのにはこの門が良い。	子供たちが通るのにはこの門が良い。
